id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
443,0.2524250851728842,7,18,121,0.20647219434613362,-0.023647466351273277,0.0980517580731733,0.10457187948382593,-0.020647500967394688,0.005192931406497792,ideal,ideal,AMBER_443.jpg
462,0.08854906010746315,3,30,125,0.0755363644566387,-0.006184432891306339,0.057948690838835006,0.020302192385618884,-0.01033909445147098,0.016006203522406198,ideal,ideal,AMBER_462.jpg
463,0.2583620960193609,3,2,109,0.1482797767384909,0.041591137647628784,0.07669174571598293,0.031454520426147305,0.0028636232018470764,0.010448651009745355,sledgehammer,sledgehammer,AMBER_463.jpg
465,0.13926548113425574,2,6,120,0.15849177539348602,-0.04148958126703898,0.08352294283794492,0.06179948151111603,-0.02399262289206187,0.008104029916377644,ideal,ideal,AMBER_465.jpg
468,-0.08222511384972474,2,9,110,-0.1531109269708395,0.11193315552211264,0.06488429895765913,-0.1556265577673912,0.055357115491965994,0.005153617467647454,bad_both,bad_both,AMBER_468.jpg
469,0.5100804595124145,4,4,128,0.3084855080771831,0.05353959585374923,0.061617487169026694,0.17359969024073507,0.031426618842942844,0.0007337855737849471,sledgehammer,sledgehammer,AMBER_469.jpg
471,-0.06894671721966006,2,9,93,-0.115822319756262,0.055287677173813186,0.035142298481709654,-0.053344458050560206,0.03118013884199576,0.0013431923073035361,bad_both,bad_both,AMBER_471.jpg
485,0.4096858591273693,3,7,113,0.1978344883148869,0.08173640263599477,0.07399638046439735,0.06908902401725452,0.013609193165653519,0.005626646078313057,sledgehammer,sledgehammer,AMBER_485.jpg
502,0.49386738665853036,2,14,129,0.3130884470883757,0.037907236578446045,0.06380457611805018,0.1043155022780411,-0.020301806252453907,0.008871392919103431,sledgehammer,ideal,AMBER_502.jpg
503,0.3128776768462558,2,16,110,0.1547012822702527,0.042461305845790775,0.03811580332987442,0.09418816305696964,0.0009751603538461495,0.0018261213760806443,sledgehammer,sledgehammer,AMBER_503.jpg
506,0.6352931700303347,5,14,117,0.18882933821514597,0.20689012030405657,0.06618702839782321,0.050542030428914586,0.03672821179497987,0.0015360614475235818,sledgehammer,sledgehammer,AMBER_506.jpg
